,Topic_Num,Topic_Perc_Contrib,Keywords,Representative Text
0,0.0,0.9855999946594238,"love, job, time, ross, work, honey, daddy, talk, look, day","['ugh', 'interview', 'part', 'laugh', 'boat', 'life', 'jacket', 'hand', 'door', 'thank', 'interview', 'minute', 'interview', 'course', 'girl', 'kiss', 'girl', 'excuse', 'listen', 'look', 'look', 'impression', 'hussy', 'sleep', 'demand', 'sex', 'job', 'day', 'yelling', 'hire', 'people', 'yell', 'storm', 'mistake', 'fool', 'courage', 'thought', 'sex', 'exchange', 'job', 'integrity', 'stand', 'courage', 'courage', 'advance', 'workplace', 'way', 'mean', 'litigate', 'litigate', 'lawsuit', 'worry', 'courage', 'integrity', 'courage', 'job', 'think', 'touch', 'ross', 'buying', 'way', 'yasmine', 'wish', 'wish']"
1,1.0,0.9787999987602234,"baby, mother, minute, smoking, move, girl, way, time, love, number","['head', 'count', 'baby', 'shower', 'event', 'man', 'care', 'mom', 'mom', 'mother', 'baby', 'shower', 'mom', 'nanny', 'housekeeper', 'mother', 'help', 'care', 'baby', 'week', 'love', 'mother', 'lunch', 'baby', 'mother', 'couch', 'sleep', 'bed', 'mom', 'gift', 'mom', 'truth', 'mom', 'vacuum', 'baby', 'minute', 'beer', 'baby', 'diaper', 'throw', 'dumpster', 'baby', 'food']"
2,2.0,0.9839000105857849,"ross, night, pheebs, baby, go, way, love, minute, year, honey","['coin', 'foot', 'anticipation', 'love', 'wedding', 'gift', 'thank', 'judge', 'minute', 'scene', 'ceremony', 'minute', 'define', 'marriage', 'forget', 'couple', 'year', 'old', 'friend', 'year', 'couple', 'presence', 'love', 'adventure', 'embark', 'people', 'journey', 'demand', 'recount', 'go', 'coin', 'head', 'forgive', 'voodoo', 'pheebs', 'apologize', 'baby', 'honor', 'stuff', 'case', 'book', 'poetry', 'picture', 'bride', 'look', 'train', 'woman', 'purse', 'ring', 'handkerchief', 'people', 'wedding', 'couple', 'garter', 'wedding', 'pheebs', 'coffeehouse']"
3,3.0,0.9810000061988831,"year, time, ross, thing, tonight, talk, key, people, minute, right","['novelty', 'cake', 'shape', 'photo', 'cake', 'baby', 'face', 'penis', 'right', 'cake', 'disaster', 'cake', 'home', 'joey', 'touch', 'daughter', 'cake', 'chocolate', 'time', 'bakery', 'go', 'birthday', 'cake', 'birthday', 'experience', 'ross', 'cover', 'book', 'guess', 'idea', 'day', 'cake', 'birthday', 'road', 'student', 'driver', 'bunny', 'care', 'thank', 'science', 'camp', 'animal', 'tear', 'birthday', 'wedding', 'dress', 'work', 'year']"
4,4.0,0.9817000031471252,"ross, baby, work, couch, tag, assistant, resource, gift, help, present","['divorce', 'idea', 'work', 'assistant', 'tag', 'lunch', 'cracker', 'joke', 'time', 'work', 'wife', 'marketing', 'up', 'today', 'tag', 'drink', 'lunch', 'cost', 'report', 'copy', 'store', 'stuff', 'backpack', 'fruit', 'granola', 'stuff', 'crush', 'tag', 'room', 'plan', 'tonight', 'work', 'office', 'bitch', 'call', 'supervisor', 'tonight', 'assistant', 'tag', 'pay', 'date', 'town', 'friend', 'ball', 'game', 'tag', 'joey', 'night', 'woman', 'woman']"
5,5.0,0.9821000099182129,"baby, ross, time, doctor, people, face, today, girl, sister, way","['feel', 'baby', 'time', 'daddy', 'fine', 'day', 'lot', 'story', 'pitcher', 'minute', 'brother', 'sister', 'share', 'stuff', 'one', 'sister', 'jump', 'closet', 'scare', 'switch', 'salt', 'salt', 'cereal', 'ton', 'umm', 'quarter', 'quarter', 'blacken', 'edge', 'person', 'bet', 'quarter', 'face', 'pencil', 'line', 'center', 'face', 'toilet', 'seat', 'neighborhood', 'love', 'talk', 'sugar', 'coffee', 'milk', 'thank', 'stuff', 'yesterday', 'dad', 'prank', 'damnit']"
6,6.0,0.9819999933242798,"time, ross, girl, people, apartment, cat, idea, love, life, night","['buck', 'ball', 'boy', 'girl', 'sweetest', 'mean', 'cute', 'day', 'shoestring', 'ground', 'care', 'think', 'congratulation', 'waste', 'time', 'cat', 'cat', 'cat', 'grandmother', 'string', 'ground', 'time', 'cat', 'hiss', 'play', 'store', 'credit', 'mean', 'cat', 'mon', 'point', 'dollar', 'cat', 'hand', 'cat', 'baby', 'look', 'move', 'go', 'investment', 'cat', 'call', 'cop', 'cat', 'leave', 'money', 'cat', 'chicken', 'dollar', 'mind', 'morning']"
7,7.0,0.9782999753952026,"night, friend, time, ross, way, ticket, job, candy, honey, sandwich","['tell', 'idea', 'pitch', 'buck', 'pool', 'money', 'alot', 'boohaki', 'talk', 'understand', 'mother', 'hour', 'casserole', 'spot', 'hand', 'ross', 'joke', 'win', 'helicopter', 'cape', 'gas', 'knick', 'hear', 'word', 'minute', 'idea', 'ticket', 'win', 'lottery', 'friend', 'win', 'lottery', 'go', 'share', 'ticket', 'split', 'ticket', 'time', 'job', 'lip', 'daughter', 'word']"
8,8.0,0.9771999716758728,"decision, movie, kid, experience, shh, ross, stamp, chance, people, go","['thought', 'wedding', 'mistake', 'call', 'point', 'decision', 'decision', 'decision', 'woman', 'ross', 'ross', 'death', 'experience', 'experience', 'stuff', 'stuff', 'mean', 'look', 'today', 'death', 'chance', 'escape', 'call', 'honey', 'problem', 'stamp', 'name', 'pretend', 'monica', 'ross', 'help', 'course', 'freak', 'bathroom', 'wedding', 'pop', 'window', 'frame', 'name', 'drink']"
9,9.0,0.9782999753952026,"time, date, way, friend, care, pheebs, stuff, relationship, work, talk","['bed', 'school', 'detail', 'fact', 'fact', 'woman', 'man', 'sex', 'fact', 'care', 'begs', 'plead', 'man', 'jewelry', 'problem', 'thing', 'people', 'sex', 'movie', 'woman', 'female', 'lighting', 'talk', 'talk', 'month', 'time', 'childhood', 'salad', 'hand', 'go', 'time', 'time', 'recover', 'track', 'woman', 'catch', 'guard', 'brush', 'hair', 'face', 'eye', 'way']"
10,10.0,0.9782999753952026,"fault, girl, pizza, hair, look, honey, couch, feeling, duck, lot","['ross', 'bonding', 'sharing', 'honey', 'look', 'face', 'honey', 'hair', 'picture', 'wedding', 'plan', 'lot', 'flower', 'caterer', 'music', 'chandler', 'cook', 'duck', 'duck', 'joey', 'couch', 'word', 'book', 'joey', 'bedroom', 'woman', 'expression', 'sexuality', 'way', 'dinner', 'money', 'go', 'feast', 'need', 'custom', 'empire', 'duchess', 'wear', 'rack', 'rack', 'smoke', 'chimney']"
11,11.0,0.9851999878883362,"purse, office, tip, tag, dollar, question, waitress, life, floor, coffee","['joke', 'phone', 'pant', 'contract', 'today', 'post', 'today', 'today', 'time', 'heart', 'corner', 'tag', 'office', 'contract', 'desk', 'phone', 'crotch', 'go', 'office', 'coat', 'work', 'mess', 'tag', 'newspaper', 'magazine', 'tag', 'brace', 'point', 'tag', 'find', 'contract', 'afternoon', 'office', 'lunch', 'put', 'today', 'puzzler', 'bit', 'copy', 'room', 'contract', 'tag', 'genital', 'phone', 'call', 'world', 'coffee', 'desk', 'check', 'drawer', 'drawer', 'office', 'minute', 'put', 'desk', 'drawer', 'floor', 'desk', 'buyer', 'committee', 'problem', 'problem']"
12,12.0,0.9740999937057495,"chair, table, piece, water, side, half, look, pheebs, time, cd","['fat', 'drooling', 'go', 'sex', 'go', 'cheek', 'side', 'finger', 'son', 'deal', 'janice', 'man', 'sense', 'pheebs', 'emergency', 'agent', 'honey', 'minute', 'minute', 'minute', 'leave', 'dairy', 'soy', 'milk', 'junk', 'stuff', 'case', 'time', 'phone', 'shoe', 'shopping', 'butt', 'bubble', 'bath', 'purpose']"
13,13.0,0.9805999994277954,"apartment, time, night, date, phone, fun, deal, year, honey, want","['love', 'phone', 'phoebe', 'phone', 'way', 'look', 'idea', 'kind', 'number', 'speed', 'dial', 'phone', 'think', 'name', 'speed', 'dial', 'mom', 'way', 'blueberry', 'girlfriend', 'pheebs', 'pheebs', 'coffee', 'house', 'guy', 'cell', 'phone', 'remember', 'purse', 'purse', 'phone', 'phone', 'saying', 'dial', 'show', 'handbag', 'work', 'moment', 'fairy', 'tale', 'rach', 'know', 'cell', 'phone', 'man', 'cell', 'phone']"
14,14.0,0.9761000275611877,"stuff, time, shirt, hat, today, week, night, ross, room, player","['joey', 'week', 'bit', 'bit', 'ross', 'trust', 'fashion', 'magazine', 'month', 'hat', 'food', 'week', 'breakfast', 'couple', 'grape', 'ross', 'stuff', 'look', 'sweater', 'saving', 'buck', 'ross', 'stuff', 'shirt', 'pant', 'walk', 'size', 'go', 'stuff', 'man', 'stuff', 'ross', 'bag', 'movie', 'pheebs', 'bedroom', 'contract', 'contract']"
